SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,SepalLengthCm_Ry,SepalWidthCm_Ry,PetalLengthCm_Ry,PetalWidthCm_Ry
5.1,3.5,1.4,0.2,"[[ 0.99900978 -0.0444912 ]
 [ 0.0444912   0.99900978]]","[[ 0.99953359 -0.03053851]
 [ 0.03053851  0.99953359]]","[[ 0.99992537 -0.012217  ]
 [ 0.012217    0.99992537]]","[[ 0.99999848 -0.00174533]
 [ 0.00174533  0.99999848]]"
4.9,3.0,1.4,0.2,"[[ 0.99908591 -0.04274754]
 [ 0.04274754  0.99908591]]","[[ 0.99965732 -0.02617695]
 [ 0.02617695  0.99965732]]","[[ 0.99992537 -0.012217  ]
 [ 0.012217    0.99992537]]","[[ 0.99999848 -0.00174533]
 [ 0.00174533  0.99999848]]"
4.7,3.2,1.3,0.2,"[[ 0.99915899 -0.04100374]
 [ 0.04100374  0.99915899]]","[[ 0.99961012 -0.02792164]
 [ 0.02792164  0.99961012]]","[[ 0.99993565 -0.0113444 ]
 [ 0.0113444   0.99993565]]","[[ 0.99999848 -0.00174533]
 [ 0.00174533  0.99999848]]"
4.6,3.1,1.5,0.2,"[[ 0.9991944  -0.04013179]
 [ 0.04013179  0.9991944 ]]","[[ 0.9996341 -0.0270493]
 [ 0.0270493  0.9996341]]","[[ 0.99991433 -0.0130896 ]
 [ 0.0130896   0.99991433]]","[[ 0.99999848 -0.00174533]
 [ 0.00174533  0.99999848]]"
5.0,3.6,1.4,0.2,"[[ 0.99904822 -0.04361939]
 [ 0.04361939  0.99904822]]","[[ 0.99950656 -0.03141076]
 [ 0.03141076  0.99950656]]","[[ 0.99992537 -0.012217  ]
 [ 0.012217    0.99992537]]","[[ 0.99999848 -0.00174533]
 [ 0.00174533  0.99999848]]"
5.4,3.9,1.7,0.4,"[[ 0.99888987 -0.04710645]
 [ 0.04710645  0.99888987]]","[[ 0.9994209  -0.03402735]
 [ 0.03402735  0.9994209 ]]","[[ 0.99988996 -0.01483475]
 [ 0.01483475  0.99988996]]","[[ 0.99999391 -0.00349065]
 [ 0.00349065  0.99999391]]"
4.6,3.4,1.4,0.3,"[[ 0.9991944  -0.04013179]
 [ 0.04013179  0.9991944 ]]","[[ 0.99955986 -0.02966624]
 [ 0.02966624  0.99955986]]","[[ 0.99992537 -0.012217  ]
 [ 0.012217    0.99992537]]","[[ 0.99999657 -0.00261799]
 [ 0.00261799  0.99999657]]"
5.0,3.4,1.5,0.2,"[[ 0.99904822 -0.04361939]
 [ 0.04361939  0.99904822]]","[[ 0.99955986 -0.02966624]
 [ 0.02966624  0.99955986]]","[[ 0.99991433 -0.0130896 ]
 [ 0.0130896   0.99991433]]","[[ 0.99999848 -0.00174533]
 [ 0.00174533  0.99999848]]"
4.4,2.9,1.4,0.2,"[[ 0.99926292 -0.03838781]
 [ 0.03838781  0.99926292]]","[[ 0.99967979 -0.02530457]
 [ 0.02530457  0.99967979]]","[[ 0.99992537 -0.012217  ]
 [ 0.012217    0.99992537]]","[[ 0.99999848 -0.00174533]
 [ 0.00174533  0.99999848]]"
4.9,3.1,1.5,0.1,"[[ 0.99908591 -0.04274754]
 [ 0.04274754  0.99908591]]","[[ 0.9996341 -0.0270493]
 [ 0.0270493  0.9996341]]","[[ 0.99991433 -0.0130896 ]
 [ 0.0130896   0.99991433]]","[[ 9.99999619e-01 -8.72664515e-04]
 [ 8.72664515e-04  9.99999619e-01]]"
